hospitalDrugCode,name,genericName,dosageForm,strength,unit,currentStock,packageSize,pricePerBox,expiryDate,category,notes
INJ028,FurosemiDE HD,FurosemiDE HD,INJ,10,mg/ml,140,1,40.66,2028-2-12,MODERN,10mg/ml
INJ030,AMIODARONE,AMIODARONE,INJ,150,mg/3ml,300,1,70.00,2027-6-30,MODERN,150mg/3ml
INJ031,Atropine,Atropine,INJ,0.6,mg/ml,135,1,5.35,2027-10-18,MODERN,0.6mg/ml
INJ032,hydralazine..,hydralazine..,INJ,20,mg,80,1,241.82,2028-5-31,MODERN,20 mg
INJ033,Adrenaline,Adrenaline,INJ,1,mg/ml,594,1,6.00,2027-1-24,MODERN,1mg/ml
INJ034,DOPAMINE,DOPAMINE,INJ,250,mg/10 ml,136,1,35.31,2027-5-23,MODERN,250 mg/10 ml
INJ035,TRANEXAMIC,TRANEXAMIC,INJ,250,mg/5 ml,259,1,17.00,2026-8-31,MODERN,250 mg/5 ml
INJ036,terbutaline,terbutaline,INJ,0.5,mg/ml,60,1,8.56,2027-8-8,MODERN,0.5mg/ml
INJ037,diazepam,diazepam,INJ,10,mg/2ml,535,1,8.83,2028-3-18,MODERN,10mg/2ml
INJ038,Fluphenazine,Fluphenazine,INJ,25,mg/ml,103,1,26.00,2027-1-23,MODERN,25mg/ml
INJ039,haloperidol,haloperidol,INJ,5,mg/ml,100,1,9.72,2028-12-31,MODERN,5mg/ml
INJ040,EPHEDRINE,EPHEDRINE,INJ,30,mg/ml,37,1,12.50,2027-11-29,MODERN,30mg/ml
INJ041,CPM,CPM,INJ,10,mg/ml,493,1,4.57,2028-3-21,MODERN,10mg/ml
INJ042,DIMENhydrinate,DIMENhydrinate,INJ,50,mg/ml,250,1,4.00,2029-3-11,MODERN,50mg/ml
INJ043,AMPICILLIN,AMPICILLIN,INJ,1,G,700,1,15.48,2028-5-13,MODERN,1 G
INJ044,BENzathine PEN G,BENzathine PEN G,INJ,1.2,MU,18,1,60.00,2028-1-1,MODERN,1.2 MU
INJ045,HALOPERIDOL DEC,HALOPERIDOL DEC,INJ,50,mg/ml,55,1,63.00,2028-11-30,MODERN,50mg/ml
INJ046,Cloxacillin,Cloxacillin,INJ,1,G,238,1,16.50,2028-3-27,MODERN,1 G
INJ047,P G S,P G S,INJ,5,MU,130,1,32.00,2026-11-21,MODERN,5 MU
INJ048,AMOXY+CLAVULANIC A,AMOXY+CLAVULANIC A,INJ,1.2,G,220,1,35.31,2027-12-22,MODERN,1.2 G
INJ049,CEFAZOLIN,CEFAZOLIN,INJ,1,G,300,1,16.80,2028-5-19,MODERN,1 G
INJ050,CEFTRIAXONE,CEFTRIAXONE,INJ,1,G,6100,1,8.44,2026-9-13,MODERN,1G
INJ051,gentamycin,gentamycin,INJ,40,mg/ml,500,1,4.20,2027-5-27,MODERN,40mg/ml
INJ053,metronidazole,metronidazole,INJ,0.5,%W/V,510,1,15.50,2028-4-8,MODERN,0.5%W/V
INJ057,INSULIN MIXTARD(Biphasic IsopHANe Insulin),INSULIN MIXTARD(Biphasic IsopHANe Insulin),INJ,100,IU/ml,478,1,74.70,2027-8-31,MODERN,100 IU/ml
INJ058,NPH /INSULIN(IsopHANe),NPH /INSULIN(IsopHANe),INJ,100,IU/ML,130,1,75.00,2027-11-30,MODERN,100 IU/ML
INJ059,REGULAR/insulin,REGULAR/insulin,INJ,100,IU/ML,12,1,80.00,2027-6-30,MODERN,100 IU/ML
INJ060,DEXAMETHASONE,DEXAMETHASONE,INJ,4,mg/ml,1065,1,3.88,2028-2-27,MODERN,4mg/ml
INJ063,TRAMADOL,TRAMADOL,INJ,50,mg/ml,128,1,5.80,2028-4-1,MODERN,50 mg/ml
INJ064,PHENYTOIN,PHENYTOIN,INJ,50,mg/ml,160,1,98.00,2026-11-30,MODERN,50 mg/ml
INJ065,HYDROcortisone Na SUCCINATE,HYDROcortisone Na SUCCINATE,INJ,100,mg/2 ml,594,1,35.80,2028-3-31,MODERN,100 mg/2 ml
INJ066,T.A.,T.A.,INJ,10,mg/ml,40,1,14.00,2026-8-30,MODERN,10mg/ml
INJ070,CLINDAMYCIN,CLINDAMYCIN,INJ,600,mg/4ml,435,1,21.40,2029-3-5,MODERN,600 mg/4ml
INJ071,DEFEROXAMINE,DEFEROXAMINE,INJ,500,mg,10,10,1728.05,2026-8-31,MODERN,500 mg
INJ074,Ceftazidime,Ceftazidime,INJ,1,G,980,1,20.00,2028-5-29,MODERN,1 G
INJ111,CALCIUM Gluconate,CALCIUM Gluconate,INJ,10,%W/V,80,1,14.98,2029-10-1,MODERN,10%W/V
INJ112,MAGNESIUM,MAGNESIUM,INJ,10,% 10 ML,70,1,10.00,2027-11-9,MODERN,10 % 10 ML
INJ114,KETAMINE,KETAMINE,INJ,10,ml,10,1,210.00,2026-11-30,MODERN,10 ml
INJ115,THIOPENTONE,THIOPENTONE,INJ,1,G,10,1,150.00,2027-2-28,MODERN,1 G
INJ117,BUPIVACAINE Spainal Heavy,BUPIVACAINE Spainal Heavy,INJ,0.5,% 4 ml,6,5,720.11,2027-5-31,MODERN,0.5 % 4 ml
INJ118,LIDOCAINE,LIDOCAINE,INJ,2,% 50 ML,79,1,33.17,2028-6-1,MODERN,2 % 50 ML
INJ120,hyoscine Br,hyoscine Br,INJ,20,mg/ml,459,1,10.25,2027-2-10,MODERN,20mg/ml
INJ150,neostigmine,neostigmine,INJ,2.5,mg/ml,35,1,20.00,2027-12-3,MODERN,2.5mg/ml
INJ152,FENTANYL 50mcg/ml,FENTANYL 50mcg/ml,INJ,2,ml,1671,1,16.00,2027-11-27,MODERN,2 ml
INJ155,morphine,morphine,INJ,10,mg/ml,569,1,7.50,2027-6-4,MODERN,10mg/ml
INJ170,PETHIDINE,PETHIDINE,INJ,50,mg/ml,157,1,8.00,2026-6-11,MODERN,50mg/ml
INJ175,naloxone,naloxone,INJ,0.4,mg/ml,16,1,203.00,2025-10-31,MODERN,0.4mg/ml
INJ176,propofol1%(20ml),propofol1%(20ml),INJ,10,mg/ml,557,1,64.00,2027-3-31,MODERN,10mg/ml
INJ177,2-PAM,2-PAM,INJ,1,g,2,1,750.00,2026-9-30,MODERN,1 g
INJ178,Sodium Bicar 7.5 %,Sodium Bicar 7.5 %,INJ,3.75,g/50ml,180,1,33.00,2029-4-1,MODERN,3.75g/50ml
INJ180,Suxamethoium CL,Suxamethoium CL,INJ,500,mg,20,1,167.00,2027-2-28,MODERN,500 mg
INJ191,Vancomycin,Vancomycin,INJ,500,MG,210,1,45.00,2026-4-30,MODERN,500 MG
INJ192,Cefotaxime,Cefotaxime,INJ,1,G,50,1,20.97,2028-1-24,MODERN,1 G
INJ201,AMPHOTERICIN-B,AMPHOTERICIN-B,INJ,50,mg,25,1,158.36,2026-10-31,MODERN,50 mg
INJ202,midazolam,midazolam,INJ,5,mg/ml/amp,888,1,15.00,2026-12-9,MODERN,5mg/ml/amp
INJ203,StreptokiNASe,StreptokiNASe,INJ,1.5,MU,1,1,5400.00,2025-11-30,MODERN,1.5 MU
INJ204,Fluanxol Depot,Fluanxol Depot,INJ,40,mg/2ml,15,1,203.30,2028-12-31,MODERN,40mg/2ml
INJ205,Enoxaparin NA,Enoxaparin NA,INJ,6000,IU/0.6ml,75,2,331.70,2026-11-30,MODERN,6000 IU/0.6ml
INJ207,Ciprofloxacin,Ciprofloxacin,INJ,400,mg/200ml,130,1,117.70,2028-4-27,MODERN,400mg/200ml
INJ208,Meropenem,Meropenem,INJ,1,g,60,10,1067.86,2028-2-5,MODERN,1 g
INJ209,Piperacillin + Tazobactam,Piperacillin + Tazobactam,INJ,4.5,g,740,1,58.85,2028-1-31,MODERN,4.5 g
INJ210,Norepinephrine,Norepinephrine,INJ,1,mg/ml,46,5,144.45,2026-11-30,MODERN,1 mg/ml
INJ213,Hydroxyprogesterone,Hydroxyprogesterone,INJ,250,mg/20ml,8,1,82.39,2025-9-10,MODERN,250mg/20ml
INJ214,Streptomycin,Streptomycin,INJ,1,g,30,1,23.00,2028-11-12,MODERN,1 g
INJ216,Cisatracurium besilate(Nimbex)5 ml,Cisatracurium besilate(Nimbex)5 ml,INJ,2,mg/ml,12,5,618.25,2026-8-31,MODERN,2mg/ml
INJ217,Nitroglycerin,Nitroglycerin,INJ,50,mg,10,1,150.00,2027-1-31,MODERN,50 mg
INJ219,Heparin,Heparin,INJ,5000,IU,9,1,187.25,2026-6-6,MODERN,5000IU
INJ220,Levofloxacin INJ,Levofloxacin INJ,INJ,750,mg/150ml,40,1,288.90,2028-9-9,MODERN,750mg/150ml
INJ222,HBIG,HBIG,INJ,180,IU,1,1,2700.00,2026-10-31,MODERN,180 IU
INJ224,Human tetanus immunoglobulin(TIG)/Tetanus Gamma,Human tetanus immunoglobulin(TIG)/Tetanus Gamma,INJ,250,IU/ml,1,1,640.00,2026-9-30,MODERN,250 IU/ml
INJ226,Amikacin,Amikacin,INJ,500,mg,150,1,24.61,2027-10-16,MODERN,500 mg
INJ227,Colistimethate,Colistimethate,INJ,150,mg,225,1,142.00,2027-8-20,MODERN,150 mg
INJ228,Cefoxitin,Cefoxitin,INJ,1,G,50,1,97.37,2026-12-3,MODERN,1 G
INJ229,Fosfomycin,Fosfomycin,INJ,4,g,100,1,357.81,2026-7-8,MODERN,4 g
INJ230,Ertapenem,Ertapenem,INJ,1,g,20,1,935.18,2026-2-3,MODERN,1 g
INJ231,Ferric hydroxide suCRose(5ml),Ferric hydroxide suCRose(5ml),INJ,20,mg/ml,4,5,802.05,2028-1-5,MODERN,20mg/ml
INJ232,dT(Diphtheria+Tatanus),dT(Diphtheria+Tatanus),INJ,,,104,1,120.00,2027-5-31,MODERN,
INJ233,Cefoperazone+Sulbactam,Cefoperazone+Sulbactam,INJ,0.5,g+0.5g,300,1,63.13,2027-1-3,MODERN,0.5g+0.5g
INJ234,Dobutamine50mg/ml,Dobutamine50mg/ml,INJ,5,ml,40,1,149.80,2028-10-31,MODERN,5 ml
INJ235,Lidocaine HCL(Preservative free),Lidocaine HCL(Preservative free),INJ,2,%w/v 10ml,9,1,43.87,2026-5-9,MODERN,2%w/v 10ml
INJ240,Bupivacaine 0.5% Polyamp,Bupivacaine 0.5% Polyamp,INJ,10,ml,6,5,504.72,2026-8-31,MODERN,10 ml
INJ242,Co-trimoxazole INJ (5ml),Co-trimoxazole INJ (5ml),INJ,80,/400,220,1,27.24,2028-11-26,MODERN,80/400
INJ244,Penfill Mixed insulin,Penfill Mixed insulin,INJ,100,IU(3ml),615,1,78.00,2027-9-30,MODERN,100 IU(3ml)
INJ245,Pantoprazole,Pantoprazole,INJ,40,mg,450,1,42.83,2027-3-31,MODERN,40 mg
INJ248,Dipotassium phosphate(20ml),Dipotassium phosphate(20ml),INJ,20,mEq,80,1,62.06,2026-11-13,MODERN,20 mEq
INJ249,Glyceol INJ.10%(Glycerin fructose&sodium chloride),Glyceol INJ.10%(Glycerin fructose&sodium chloride),INJ,500,ml,78,1,288.90,2027-9-5,MODERN,500 ml
INJ250,HyperCRit,HyperCRit,INJ,4000,IU,90,1,321.00,2027-7-31,MODERN,4000 IU
INJ251,Imipenem+Cilastatin,Imipenem+Cilastatin,INJ,500,mg+500mg,20,1,139.10,2026-2-6,MODERN,500 mg+500mg
INJ252,EPIAO(Erythropoietin Alfa),EPIAO(Erythropoietin Alfa),INJ,4000,IU/ml,9,10,1572.90,2027-1-15,MODERN,4000 IU/ml
INJ253,HEMAX(Epoetin alfa),HEMAX(Epoetin alfa),INJ,4000,IU,50,1,321.00,2027-9-30,MODERN,4000 IU
INJ255,Espogen(rh Erythropoietin),Espogen(rh Erythropoietin),INJ,4000,IU/ml,90,1,179.76,2027-3-18,MODERN,4000 IU/ml
INJ256,NICARDIPINE(ใหญ่),NICARDIPINE(ใหญ่),INJ,10,mg/10ml,26,10,799.29,2026-8-13,MODERN,10mg/10ml
INJ257,Esmolol HCL INJ,Esmolol HCL INJ,INJ,100,mg/10ml,8,1,350.00,2025-12-13,MODERN,100 mg/10ml
INJ259,bupivacaine SP (ISO) 4 ml,bupivacaine SP (ISO) 4 ml,INJ,5,mg/ml,8,5,576.05,2027-1-31,MODERN,5mg/ml
INJ260,Mannitol20%,Mannitol20%,INJ,100,ml,248,1,45.00,2026-11-30,MODERN,100 ml
INJ264,Sodium valproate INJ,Sodium valproate INJ,INJ,400,mg/4ml,10,1,274.00,2027-4-4,MODERN,400 mg/4ml
LVP013,D 5 W 100 ml,D 5 W 100 ml,INJ,,,143,1,12.00,1930-3-27,MODERN,
LVP014,NSS 0.9 % sodium CL,NSS 0.9 % sodium CL,INJ,5,ml,46,50,100.00,2027-8-31,MODERN,5 ml
LVP023,Lactated Ringer's INJection(LRI),Lactated Ringer's INJection(LRI),INJ,1000,ml,60,1,37.00,2026-9-13,MODERN,1000 ml
TAB279,Ondansetron,Ondansetron,INJ,8,mg/4ml,500,1,11.00,2026-4-15,MODERN,8mg/4ml
TAB285,Acyclovir,Acyclovir,INJ,250,mg,160,1,129.00,2026-12-31,MODERN,250 mg
SUS004,HYOSCINE,HYOSCINE,LIQ,5,mg/5 ml,108,1,11.80,2029-3-14,MODERN,5 mg/5 ml
SOL019,Benzyl benzoate,Benzyl benzoate,LOT,25,% 60 ml,15,1,18.00,2027-11-7,MODERN,25 % 60 ml
SOL122,CALAMINE,CALAMINE,LOT,60,ml,293,1,14.98,2029-3-6,MODERN,60 ml
LVP001,D 10 W,D 10 W,LVP,1000,ml,28,1,33.00,2028-12-23,MODERN,1000 ml
LVP002,D 5 S,D 5 S,LVP,1000,ML,10,1,26.00,1930-5-16,MODERN,1000 ML
LVP003,D 5 N/2,D 5 N/2,LVP,1000,ml,659,1,25.09,1930-2-3,MODERN,1000 ml
LVP006,D 5 W,D 5 W,LVP,500,ml,515,1,24.00,1930-1-12,MODERN,500 ml
LVP008,0.9 nss,0.9 nss,LVP,100,ml,4951,1,12.00,1930-6-11,MODERN,100 ml
LVP009,NSS,NSS,LVP,1000,ML,490,1,26.00,1930-6-11,MODERN,1000 ML
LVP011,DEXTRAN 40 in NSS,DEXTRAN 40 in NSS,LVP,500,ml,5,1,424.79,2026-12-10,MODERN,500 ml
LVP015,D 5N/3,D 5N/3,LVP,1000,ml,130,1,26.00,2029-10-28,MODERN,1000 ml
LVP020,D5 N/5,D5 N/5,LVP,1000,ml,20,1,26.00,2028-7-24,MODERN,1000 ml
LVP024,NSS/2(1000ml),NSS/2(1000ml),LVP,1000,ml,80,1,26.00,2029-10-1,MODERN,1000 ml
MDI001,BUDESONIDE,BUDESONIDE,MDI,200,mcg,208,1,69.55,2027-3-20,MODERN,200 mcg
MDI002,BERODUAL,BERODUAL,MDI,0.02,+0.05mg/dos,193,1,104.86,2027-6-6,MODERN,0.02+0.05mg/dos
MDI003,salbutamol,salbutamol,MDI,100,mcg,156,1,42.80,2027-2-19,MODERN,100 mcg
MDI007,Salmeterol+Fluticasone,Salmeterol+Fluticasone,MDI,25,/125mcg,544,1,118.77,2026-12-12,MODERN,25/125mcg
MIX001,M.carminative,M.carminative,MIX,180,ml,398,1,16.05,2028-1-7,MODERN,180 ml
NAS002,Fluticasone(Avamys)0.05%,Fluticasone(Avamys)0.05%,NAS,27.5,mcg,158,1,228.98,2028-2-11,MODERN,27.5 mcg
SOL004,IPRATOPIUM+fenoterol,IPRATOPIUM+fenoterol,NB,0.5,+1.25 mg,164,21,117.70,2028-1-29,MODERN,0.5+1.25 mg
EXT005,OXYTETRACYCLINE,OXYTETRACYCLINE,OIN,3.5,g,1,144,2182.80,2029-8-31,MODERN,3.5 g
EXT012,VASELINE,VASELINE,OIN,450,G,5,1,218.28,2027-4-2,MODERN,450 G
EXT042,Mupirocin OINtment 5g,Mupirocin OINtment 5g,OIN,20,mg,50,1,25.00,2027-1-30,MODERN,20 mg
PAT001,Fentanyl PATch,Fentanyl PATch,PAT,25,mcg/hr,43,1,58.00,2026-9-30,MODERN,25mcg/hr
201,ยาชงขิง,ยาชงขิง,POW,,,20,10,20.00,2028-2-2,MODERN,
HER014,ชาชงหญ้าดอกขาว,ชาชงหญ้าดอกขาว,POW,,,149,1,23.50,2027-3-18,MODERN,
INJ243,Parecoxib INJ(DyNAStat),Parecoxib INJ(DyNAStat),POW,40,mg,22,5,969.42,2027-4-30,MODERN,40 mg
PWD004,ORS(BLHUA),ORS(BLHUA),POW,5.532,g,75,50,64.73,2028-7-10,MODERN,5.532 g
HER010,ลูกประคบไพล,ลูกประคบไพล,PWD,,,425,1,46.12,2026-7-22,MODERN,
PWD002,CALCIUM polystyrene sulfonate,CALCIUM polystyrene sulfonate,PWD,5,g*100,4,100,620.60,2027-11-28,MODERN,5g*100
PWD003,CHARCOAL,CHARCOAL,PWD,5,g*25,4,25,347.75,2028-6-13,MODERN,5g*25
PWD005,PEG (Niflec),PEG (Niflec),PWD,137.155,g,240,1,374.50,2027-1-13,MODERN,137.155 g
796205,Dioctahedral smectite,Dioctahedral smectite,SAC,3,g,60,1,28.00,2028-3-31,MODERN,3 g
Eli001,potas Elixir 60 ml,potas Elixir 60 ml,SOL,500,mg/5 ml,50,1,13.99,2027-5-29,MODERN,500 mg/5 ml
